video_id,topic
00GYQONkvio,51
01XR3rDSi4k,-1
02joq298HnE,-1
05tG47pv1vM,25
07PxZAgMNn8,6
0A5aCtFrfUI,29
0AmamFc_tBk,45
0Cjph5CvErE,41
0CjzCB9Nre4,38
0cqp7ZuHZ5M,-1
0dj-GwR5T88,-1
0EE5g2ifdaM,36
0gmAjXuwD6w,34
0gsqHbjS8Z4,22
0GykDf4Ztvs,51
0hePvDEOZYs,0
0HICFV2K1HU,-1
0ikpwCTemno,30
0iO2ztxGVOI,1
0JqH1_l0b9M,45
0j_z0xHF8DM,7
0KyhPPPX7mU,39
0MvljHfZMoc,-1
0N0LV0mqTYQ,4
0N7xUuS0zTU,54
0nIQGUY5Piw,-1
0phnFAMj0sY,1
0PMRov2dIQg,0
0PqqnUB_9RE,13
0pw769yqM2M,-1
0q1EiVDRLWQ,-1
0Qscbw8Nn7A,3
0rBs4olVM9k,-1
0rMmHaLX6LU,-1
0RqbsHlqrUg,-1
0sppw7Zq35w,9
0T7XH2lb6sQ,-1
0tMlQX1lpGo,-1
0TnL_quZjQQ,-1
0u7jC72QGno,-1
0W92jf5K8Pw,14
0XaWLRaTtfM,4
0ZhPLzyNz9c,14
10DwOnDPUwc,21
126_DoZlP9Y,-1
154UuRusL-8,31
18sRBW-m7E4,25
1955CTVDc_o,5
1agKagI1dT8,31
1aogY1Tm2Lo,9
1AQ2bOV96Ds,7
1BeRKy_qa7U,31
1cBhBi4peGc,-1
1c_bZAMJEoo,12
1CDBYz5BDEI,-1
1DGHbc_PQTY,-1
1e2h-awLC-s,5
1EV3K6wJUQk,13
1gz4duPT5CY,35
1iGaFfnazHI,0
1i_QelwRJOQ,5
1IT49BGU0Gg,54
1iUDYR8OyXU,6
1-iV9HhFzpA,22
1kfML4drTLg,33
1lqwpTRT0-I,-1
1mBNn49HU98,-1
1nRPRFdXVsI,8
1onkZGsknsk,1
1OtC6g_tyuI,19
1qEhd-QIxVA,-1
1qPgmi0Fj2w,-1
1QyZc7Rs3c4,41
1Rg3Ex3RshI,-1
1s8PHo7SpNg,5
1uOWaU_5o9E,22
1W7oUZ8EVbI,12
1WxzEK4fIG4,-1
1XqArmFLd6g,0
1xrKMSySQOQ,28
1YadWXms4Pk,26
1z8yaQVBGfA,7
1zBRm4HvuSA,-1
21vWvr6Ypfk,-1
21WNv6F7ZO4,-1
24fDz5XWvrY,4
24H6FcXTiWY,-1
25fgYtVSZ9Y,-1
26ZGk1ihajc,50
28M9LQakitM,-1
29cseVKT_U0,-1
2AagWXtg4gY,1
2AePwws9EGw,-1
2AmIjHhrX8w,52
2bceWtli4o0,-1
2bEuPAFDHn4,-1
2bTjr2Fk99A,-1
2cmNy-5Ahjc,-1
2cocDtxotBE,2
2D4Hcw0eX-g,9
2dtcM8Si_bo,49
2FZ2AGo6Kec,-1
2G7jSglqkSc,-1
2Gw6gLBPvA8,-1
2H0B9cj3CI0,12
2HI61Tvwf2M,-1
2hIhFlNMFxY,9
2K5C4tyMWBo,40
2ndADYA8Npk,-1
2--Nhxasrew,29
2nJDlm2Uz_Y,-1
2ogkuhSNh1A,50
2oMJdbqF5dY,32
2Os_LHr69kI,31
2P9b45rH968,3
2pT7cuSpN1g,-1
2qGe9ctFP1o,19
2qURBcYOSw8,4
2T15crw8hU0,-1
2TGQaXafQVw,-1
2tGZA-F1_n0,-1
2tIiB5Mx-uI,-1
2TiROf0m870,-1
2TqeZ8CJ6tw,22
2uDUNSdAdb8,10
2unELGOein8,17
2VLfmT5J3Yc,31
2wR8fWddfuk,-1
2XkDr9tZ0RY,-1
_2xXQOs6pEQ,34
2yQpzk_xhH0,35
2Z3RcXlNaMw,55
2ZMj3XpeKGg,-1
2zOe9Kd2n-w,-1
3-1fQy_SZjw,15
31lsU24vhE8,24
31NLE8h2t3U,-1
33v_W8V2Pow,-1
35BjK5JVpro,18
36WUUwSo8N4,31
3BgdhHXJ-CU,28
3D-YAjf19jQ,31
3EBIbec2UHA,-1
3eHewXA7Ez0,26
3EN1UM0aYyA,-1
3EVUSRTlHEE,-1
3fhU8N99GHQ,8
3hZjy_6qCbA,33
3IAQoduxAxM,15
3iM3hbKvKLU,40
3j6fD6CaOd4,-1
3jUJYPGaK8M,7
3jXgdKDOfuU,4
_3KvgT4z6y0,0
3l2eKL3MVBE,1
3-LRU-lsayw,-1
3MX_omZ70HA,27
3nWpNBBkyu0,42
3PU0S-VyLWo,-1
-3qs1YKMKNg,-1
3QWIxElEnc8,4
3SSNhafDTwU,3
3Tfs3NLZEa4,-1
3The1PBDRoc,13
3usPQrX_k6A,18
3uXkIGKwhao,9
3V8VJxYHlRA,44
3vEus7s60Gs,0
3VsxjbpMTao,10
3w08phOWRj4,-1
3W5yfis3KTY,7
3wqOyE7jxeo,1
3X30suG6igk,-1
3XxVGrQb0fw,44
3y4Xy0Gk1uA,8
3y5p7V05xls,34
3yHeJ69AxQ0,-1
3ZeQJeTpVMI,-1
41YbGBZkaDk,0
430UIt6mLW4,5
43gyezZiarQ,12
44HVIiR4oO4,3
-4-5LEn9M84,-1
45pybsbsvLQ,5
46ULM7NLhsc,46
498-bf2BhgQ,0
4ctkBMCGCyo,1
4d31jOrnzmE,0
4DAwAHnl8tY,37
4DNOc2dP_X4,25
-4E8qm3bVek,49
4fH3C2UNMnc,-1
4FNDWA_YfwI,-1
4GPE1rIVAqY,23
4i2j8x3SCMY,38
4JGfJTjPGhM,-1
4jHEXJR8Z-g,17
4Jvq0UUtqgE,1
4KNE2zOVE0Y,46
4l5w1BCfVFE,6
4LIf6aVALm0,25
4LiTscihbuo,33
4L-tyBEdtUM,53
4nd1CDZP21s,23
4OWlQl_yS4Y,2
4PTl27tTmfY,1
4qn7ep6ZpRY,-1
4rhStjG0XVY,26
4SJci-UBY9Y,-1
4STxr-mUxT0,-1
4uS-H6x6aqk,-1
4uzi0rkHCpI,-1
4wVGKfTI1zE,12
4z6hCJVTwcI,-1
505kOstzPoE,11
58DxcOs-A0w,20
58kdlgKvEU0,-1
5AB2l8Cehwk,46
5baemtRPzEU,7
5bhzvhOyGy0,19
5BIuINM96Q8,-1
5cM6dwkIrFA,0
5dJLphFSUDk,33
-5eliLFIKhw,4
5exo1XA6QEg,8
_5hcxlzxjY4,-1
5iYOdgYDtSw,-1
5kLqdD8PmSc,-1
5mcOOAkp_x8,4
5mxu_A-BuqM,52
5n6lDNacfk0,2
5nKRuE_MOrQ,-1
5OLtM0v-k2E,-1
5oSTqjidL4s,31
5P3zVXWT1W8,21
5PZMwpbaJ4g,-1
5QdPcuH3FjA,-1
5QMy2YXWxHU,-1
5qNEAgcCT7w,37
5QwoCa6Ssxk,15
5R2w5f5BLIg,-1
5rEYnz7wIOs,50
5tqgjeeVmnw,8
5uMW21UfOSg,-1
5UrVkZXVHcQ,5
5U-U8I_Rfhw,-1
5z5KT5pRmUI,-1
60Eb_t_ME8Q,-1
62QNG2YJajQ,10
640vIyvvxOY,23
6536kS7205A,-1
67WSktDKn40,23
693UD3V1KSU,-1
6ANbVHDae2w,-1
6b9qmv4uhcQ,-1
6BnYSql0a34,19
6CWq8wyS90o,0
6eeKK2D7Xs0,-1
6godSEVvcmU,40
6GyXBKlHu0g,-1
6H0OkGbjubo,-1
6H6-Pwny--4,-1
6JjRS4rz7A8,-1
6KGYCU_INVI,49
6kJzzo7deDY,3
6kXLz2DXx7Y,-1
6L4-BWP2f-s,17
6LPox8Mma6g,8
6lzS_om3nU4,54
6mGpmsZepvM,19
6P1hn2iTLVQ,0
-6SNLtm3Iis,52
6t3sXBz2RY4,11
6TS4d-zqRFA,3
6u0azgiH4dI,20
6Ux2U-AJp3E,-1
6vcWwuKWvIU,53
-6w2dZfqKBw,-1
6Y_z2JtPl6M,-1
6zzqQput4CE,3
70669ZJdmWg,3
70sUgz0IqiY,26
71wM2TgL6J8,23
720DQBVYegY,24
79Ulkp6V-Tg,18
79x8m8ck5mY,2
7A6LOgqtHC8,-1
7AywxObPgeM,-1
7CceEyd6AwY,35
7DX9-iW8kJ0,17
7E7foGMgW14,-1
7EhM8uwoYo4,-1
7eMQ1AGlA1E,39
7Epg7jynWa0,18
7-ex2qeAkdc,-1
7fofx_vVHvU,26
7hI8uA3sC4o,-1
7hj1gnmm1s8,8
7hsD1mWp8pE,43
7iD6L-4glww,-1
7_IkudJVoU4,8
7jDPsBh2AyQ,32
7khssDVKKXc,-1
7lmmDqW0xfs,-1
7P29lfYJLw0,-1
7_Q2xfoSiuw,21
7rdcIqCSQuk,6
7SFhQBxdznQ,41
7_T_igJe7EA,15
7UikFbVuS5c,-1
7VaHh9EUcfE,35
7VfSCQnGfk4,-1
7wEJ5QFT4b8,25
7w-fahak9bg,10
7XPngxfKM9Y,-1
7xXARKA3O_Q,-1
7yiBQ7yD-G0,9
7ZkptkAW_JM,18
7z-OAmqE_Vw,-1
84Vql_LcyPc,23
86JoC1PTmnE,36
86sYinrLuPA,12
887f47tPyck,22
89YLDv7Rkpk,16
8A0qE24aiEM,-1
8AGAUNmym_M,-1
8aj241Pf8vQ,29
8bAEuX2w2Ow,51
8biBQ18wApY,-1
8CRBecuDPrY,4
8D5dBZ3WD_A,-1
8dRZk74OyMk,-1
8ehP6ZcvhFg,13
8gKBwOLGDBc,9
8H-mJlp16jc,46
8-ism9vC-a4,-1
8Jdci1z0DJU,15
8juXAIjmBPc,37
8KaDTH0kWNo,0
8m16IoLr-GM,7
-8Mlgw2K6eM,-1
8pQBdZ3RdfA,-1
8PYhEWK2wVA,4
8pyPnIhAHhI,47
8s5KEE9-JVs,9
8TkbP4XfggM,3
8TL-K-dc4n4,-1
8uT05YjbEoY,10
8uypYN3K-3s,49
8uZ9ZsPNkcg,0
8vbe5ph3uCw,1
8vbGBJGZg1s,32
8vRf40bqXAU,8
8XFdaOnx-Gs,-1
8xjGLBHAF28,-1
90adCirK5Sw,-1
90tZ7An9DLM,-1
932eSyHbUgw,-1
93sckutXQjk,-1
96JkqXKwDeo,0
98ZD65io6aY,4
99lcFWxQjSs,10
9a7xpCAiYcQ,9
9bkDU2juYU8,34
9DuW7NlMqxo,7
9EczG_jGhGA,54
9G3W_Fz8kXg,-1
9hjtQwj4qqI,-1
9ILKZIMfx44,6
9J79-kVq5sg,22
9jB8PXg6zJw,9
9kJu2P51TF0,-1
9mDK9dquUHw,-1
9nvwdA3UZZ8,22
9rtwTzgoD_0,37
9TWCL0oJF0k,-1
9UKl9WOihBE,-1
9wNKuMyNafA,-1
9XVXD7Ar8Z4,7
9ZVFhGgIomM,14
a1GD2SJDT-o,33
A2LTyNuxAAY,-1
a3IIYz-UlK0,-1
a4RhjdEiisc,-1
a9fU3t1py2o,-1
