video_id,topic,topic_label
00GYQONkvio,1,game / dad / friend
01XR3rDSi4k,-1,Outlier
02joq298HnE,-1,Outlier
05tG47pv1vM,4,relationship / love / friend
07PxZAgMNn8,6,gender / dude / emotion
0A5aCtFrfUI,19,hour / work / technology
0AmamFc_tBk,0,motivation / job / brain
0Cjph5CvErE,0,motivation / job / brain
0CjzCB9Nre4,21,shame / self / emotion
0cqp7ZuHZ5M,-1,Outlier
0dj-GwR5T88,-1,Outlier
0EE5g2ifdaM,1,game / dad / friend
0gmAjXuwD6w,0,motivation / job / brain
0gsqHbjS8Z4,0,motivation / job / brain
0GykDf4Ztvs,1,game / dad / friend
0hePvDEOZYs,2,game / dopamine / brain
0HICFV2K1HU,-1,Outlier
0ikpwCTemno,8,interaction / extrovert / introvert
0iO2ztxGVOI,5,adhd / brain / medication
0JqH1_l0b9M,0,motivation / job / brain
0j_z0xHF8DM,3,trauma / anger / emotion
0KyhPPPX7mU,13,comparison / insecurity / ego
0MvljHfZMoc,-1,Outlier
0N0LV0mqTYQ,0,motivation / job / brain
0N7xUuS0zTU,27,vision / contact / introvert
0nIQGUY5Piw,-1,Outlier
0phnFAMj0sY,5,adhd / brain / medication
0PMRov2dIQg,2,game / dopamine / brain
0PqqnUB_9RE,7,depression / therapist / therapy
0pw769yqM2M,-1,Outlier
0q1EiVDRLWQ,-1,Outlier
0Qscbw8Nn7A,3,trauma / anger / emotion
0rBs4olVM9k,-1,Outlier
0rMmHaLX6LU,-1,Outlier
0RqbsHlqrUg,-1,Outlier
0sppw7Zq35w,11,sleep / bed / caffeine
0T7XH2lb6sQ,-1,Outlier
0tMlQX1lpGo,-1,Outlier
0TnL_quZjQQ,-1,Outlier
0u7jC72QGno,-1,Outlier
0W92jf5K8Pw,1,game / dad / friend
0XaWLRaTtfM,0,motivation / job / brain
0ZhPLzyNz9c,1,game / dad / friend
10DwOnDPUwc,0,motivation / job / brain
126_DoZlP9Y,-1,Outlier
154UuRusL-8,1,game / dad / friend
18sRBW-m7E4,4,relationship / love / friend
1955CTVDc_o,0,motivation / job / brain
1agKagI1dT8,1,game / dad / friend
1aogY1Tm2Lo,11,sleep / bed / caffeine
1AQ2bOV96Ds,3,trauma / anger / emotion
1BeRKy_qa7U,1,game / dad / friend
1cBhBi4peGc,-1,Outlier
1c_bZAMJEoo,12,meditation / technique / practice
1CDBYz5BDEI,-1,Outlier
1DGHbc_PQTY,-1,Outlier
1e2h-awLC-s,0,motivation / job / brain
1EV3K6wJUQk,7,depression / therapist / therapy
1gz4duPT5CY,1,game / dad / friend
1iGaFfnazHI,2,game / dopamine / brain
1i_QelwRJOQ,0,motivation / job / brain
1IT49BGU0Gg,27,vision / contact / introvert
1iUDYR8OyXU,6,gender / dude / emotion
1-iV9HhFzpA,0,motivation / job / brain
1kfML4drTLg,20,sex / asexuality / penis
1lqwpTRT0-I,-1,Outlier
1mBNn49HU98,-1,Outlier
1nRPRFdXVsI,10,addiction / substance / cannabis
1onkZGsknsk,5,adhd / brain / medication
1OtC6g_tyuI,8,interaction / extrovert / introvert
1qEhd-QIxVA,-1,Outlier
1qPgmi0Fj2w,-1,Outlier
1QyZc7Rs3c4,0,motivation / job / brain
1Rg3Ex3RshI,-1,Outlier
1s8PHo7SpNg,0,motivation / job / brain
1uOWaU_5o9E,0,motivation / job / brain
1W7oUZ8EVbI,12,meditation / technique / practice
1WxzEK4fIG4,-1,Outlier
1XqArmFLd6g,2,game / dopamine / brain
1xrKMSySQOQ,7,depression / therapist / therapy
1YadWXms4Pk,9,parent / boundary / kid
1z8yaQVBGfA,3,trauma / anger / emotion
1zBRm4HvuSA,-1,Outlier
21vWvr6Ypfk,-1,Outlier
21WNv6F7ZO4,-1,Outlier
24fDz5XWvrY,0,motivation / job / brain
24H6FcXTiWY,-1,Outlier
25fgYtVSZ9Y,-1,Outlier
26ZGk1ihajc,0,motivation / job / brain
28M9LQakitM,-1,Outlier
29cseVKT_U0,-1,Outlier
2AagWXtg4gY,5,adhd / brain / medication
2AePwws9EGw,-1,Outlier
2AmIjHhrX8w,17,flag / relationship / partner
2bceWtli4o0,-1,Outlier
2bEuPAFDHn4,-1,Outlier
2bTjr2Fk99A,-1,Outlier
2cmNy-5Ahjc,-1,Outlier
2cocDtxotBE,1,game / dad / friend
2D4Hcw0eX-g,11,sleep / bed / caffeine
2dtcM8Si_bo,26,loneliness / arousal / being
2FZ2AGo6Kec,-1,Outlier
2G7jSglqkSc,-1,Outlier
2Gw6gLBPvA8,-1,Outlier
2H0B9cj3CI0,12,meditation / technique / practice
2HI61Tvwf2M,-1,Outlier
2hIhFlNMFxY,11,sleep / bed / caffeine
2K5C4tyMWBo,22,psychosis / chatbot / risk
2ndADYA8Npk,-1,Outlier
2--Nhxasrew,19,hour / work / technology
2nJDlm2Uz_Y,-1,Outlier
2ogkuhSNh1A,0,motivation / job / brain
2oMJdbqF5dY,1,game / dad / friend
2Os_LHr69kI,1,game / dad / friend
2P9b45rH968,3,trauma / anger / emotion
2pT7cuSpN1g,-1,Outlier
2qGe9ctFP1o,8,interaction / extrovert / introvert
2qURBcYOSw8,0,motivation / job / brain
2T15crw8hU0,-1,Outlier
2TGQaXafQVw,-1,Outlier
2tGZA-F1_n0,-1,Outlier
2tIiB5Mx-uI,-1,Outlier
2TiROf0m870,-1,Outlier
2TqeZ8CJ6tw,0,motivation / job / brain
2uDUNSdAdb8,4,relationship / love / friend
2unELGOein8,6,gender / dude / emotion
2VLfmT5J3Yc,1,game / dad / friend
2wR8fWddfuk,-1,Outlier
2XkDr9tZ0RY,-1,Outlier
_2xXQOs6pEQ,0,motivation / job / brain
2yQpzk_xhH0,1,game / dad / friend
2Z3RcXlNaMw,0,motivation / job / brain
2ZMj3XpeKGg,-1,Outlier
2zOe9Kd2n-w,-1,Outlier
3-1fQy_SZjw,14,burnout / employee / job
31lsU24vhE8,1,game / dad / friend
31NLE8h2t3U,-1,Outlier
33v_W8V2Pow,-1,Outlier
35BjK5JVpro,16,narcissist / parent / narcissism
36WUUwSo8N4,1,game / dad / friend
3BgdhHXJ-CU,7,depression / therapist / therapy
3D-YAjf19jQ,1,game / dad / friend
3EBIbec2UHA,-1,Outlier
3eHewXA7Ez0,9,parent / boundary / kid
3EN1UM0aYyA,-1,Outlier
3EVUSRTlHEE,-1,Outlier
3fhU8N99GHQ,10,addiction / substance / cannabis
3hZjy_6qCbA,20,sex / asexuality / penis
3IAQoduxAxM,14,burnout / employee / job
3iM3hbKvKLU,22,psychosis / chatbot / risk
3j6fD6CaOd4,-1,Outlier
3jUJYPGaK8M,3,trauma / anger / emotion
3jXgdKDOfuU,0,motivation / job / brain
_3KvgT4z6y0,2,game / dopamine / brain
3l2eKL3MVBE,5,adhd / brain / medication
3-LRU-lsayw,-1,Outlier
